dataset,model,population_percent,precision_at_depth,lift,captured_positives
Future repeat purchase,Logistic regression,10,0.927710843373494,1.5778688524590163,0.15778688524590165
Future repeat purchase,Logistic regression,20,0.891566265060241,1.5163934426229506,0.30327868852459017
Future repeat purchase,Logistic regression,30,0.8433734939759037,1.4344262295081966,0.430327868852459
Future repeat purchase,Logistic regression,40,0.8132530120481928,1.3831967213114753,0.5532786885245902
Future repeat purchase,Logistic regression,50,0.7686746987951807,1.3073770491803276,0.6536885245901639
Future repeat purchase,Logistic regression,60,0.7188755020080321,1.222677595628415,0.7336065573770492
Future repeat purchase,Logistic regression,70,0.6746987951807228,1.147540983606557,0.8032786885245902
Future repeat purchase,Logistic regression,80,0.6460843373493976,1.0988729508196722,0.8790983606557377
Future repeat purchase,Logistic regression,90,0.6184738955823293,1.0519125683060109,0.9467213114754098
Future repeat purchase,Logistic regression,100,0.5879518072289157,1.0,1.0
Future repeat purchase,RBF support vector machine,10,0.927710843373494,1.5778688524590163,0.15778688524590165
Future repeat purchase,RBF support vector machine,20,0.9036144578313253,1.5368852459016393,0.3073770491803279
Future repeat purchase,RBF support vector machine,30,0.8594377510040161,1.4617486338797814,0.4385245901639344
Future repeat purchase,RBF support vector machine,40,0.8132530120481928,1.3831967213114753,0.5532786885245902
Future repeat purchase,RBF support vector machine,50,0.7686746987951807,1.3073770491803276,0.6536885245901639
Future repeat purchase,RBF support vector machine,60,0.7208835341365462,1.2260928961748632,0.735655737704918
Future repeat purchase,RBF support vector machine,70,0.6678141135972461,1.1358313817330208,0.7950819672131147
Future repeat purchase,RBF support vector machine,80,0.6400602409638554,1.0886270491803278,0.8709016393442623
Future repeat purchase,RBF support vector machine,90,0.6131191432396251,1.0428051001821492,0.9385245901639344
Future repeat purchase,RBF support vector machine,100,0.5879518072289157,1.0,1.0
Session purchase conversion,Logistic regression,10,0.7320261437908496,4.683739603458434,0.469601677148847
Session purchase conversion,Logistic regression,20,0.5679214402618658,3.6337447288872418,0.7274633123689728
Session purchase conversion,Logistic regression,30,0.4366812227074236,2.7940274459183585,0.8385744234800838
Session purchase conversion,Logistic regression,40,0.35872235872235875,2.2952214650327862,0.9182389937106918
Session purchase conversion,Logistic regression,50,0.29750982961992134,1.9035639412997905,0.9517819706498952
Session purchase conversion,Logistic regression,60,0.2549126637554585,1.6310135215548416,0.9790356394129979
Session purchase conversion,Logistic regression,70,0.22087037903603182,1.4131999933290758,0.989517819706499
Session purchase conversion,Logistic regression,80,0.1941031941031941,1.2419349023122608,0.9937106918238994
Session purchase conversion,Logistic regression,90,0.17327994175464143,1.10870101097519,0.9979035639412998
Session purchase conversion,Logistic regression,100,0.15629095674967233,1.0,1.0
Session purchase conversion,RBF support vector machine,10,0.7254901960784313,4.641920499856127,0.46540880503144655
Session purchase conversion,RBF support vector machine,20,0.5761047463175123,3.6861041630210645,0.7379454926624738
Session purchase conversion,RBF support vector machine,30,0.45305676855895194,2.8988034751402965,0.870020964360587
Session purchase conversion,RBF support vector machine,40,0.35872235872235875,2.2952214650327862,0.9182389937106918
Session purchase conversion,RBF support vector machine,50,0.29554390563564875,1.8909853249475892,0.9454926624737946
Session purchase conversion,RBF support vector machine,60,0.25163755458515286,1.610058315710454,0.9664570230607966
Session purchase conversion,RBF support vector machine,70,0.21806270472625175,1.3952355866342148,0.9769392033542977
Session purchase conversion,RBF support vector machine,80,0.1928746928746929,1.234074554829272,0.9874213836477987
Session purchase conversion,RBF support vector machine,90,0.17255187477247907,1.1040426033660506,0.9937106918238994
Session purchase conversion,RBF support vector machine,100,0.15629095674967233,1.0,1.0
